date-time;year;month;day-of-month;hour;day-of-year;u;Rg;Rain;Rain_last3h;LAI
2013/01/01 01:00;2013;1;1;1;1;8.1;0.0;2;0;6.400
2013/01/01 02:00;2013;1;1;2;1;7.5;0.0;0.6;0;6.400
2013/01/01 03:00;2013;1;1;3;1;6.7;0.0;1.8;4.4;6.400
2013/01/01 04:00;2013;1;1;4;1;7.1;0.0;1.3;3.7;6.400
2013/01/01 05:00;2013;1;1;5;1;6.7;0.0;0.4;3.5;6.400
2013/01/01 06:00;2013;1;1;6;1;6.9;0.0;0.1;1.8;6.400
2013/01/01 07:00;2013;1;1;7;1;6.4;0.0;4.3;4.8;6.400
2013/01/01 08:00;2013;1;1;8;1;6.1;0.0;1.7;6.1;6.400
2013/01/01 09:00;2013;1;1;9;1;3.7;7.8;0.2;6.2;6.400
2013/01/01 10:00;2013;1;1;10;1;2.5;23.6;1.6;3.5;6.400
2013/01/01 11:00;2013;1;1;11;1;6.2;22.8;0;1.8;6.400
2013/01/01 12:00;2013;1;1;12;1;4.0;56.3;0;1.6;6.400
2013/01/01 13:00;2013;1;1;13;1;3.9;69.7;0;0;6.400
2013/01/01 14:00;2013;1;1;14;1;5.0;105.9;0;0;6.400
2013/01/01 15:00;2013;1;1;15;1;5.6;106.0;0;0;6.400
2013/01/01 16:00;2013;1;1;16;1;4.7;6.8;0;0;6.400
2013/01/01 17:00;2013;1;1;17;1;3.4;0.0;0;0;6.400
2013/01/01 18:00;2013;1;1;18;1;4.0;0.0;0;0;6.400
2013/01/01 19:00;2013;1;1;19;1;4.1;0.0;0;0;6.400
2013/01/01 20:00;2013;1;1;20;1;3.6;0.0;0;0;6.400
2013/01/01 21:00;2013;1;1;21;1;3.6;0.0;0;0;6.400
2013/01/01 22:00;2013;1;1;22;1;3.7;0.0;0.2;0.2;6.400
2013/01/01 23:00;2013;1;1;23;1;3.4;0.0;0.3;0.5;6.400
2013/01/02 00:00;2013;1;2;0;2;4.5;0.0;0;0.5;6.400
2013/01/02 01:00;2013;1;2;1;2;4.2;0.0;0;0.3;6.400
2013/01/02 02:00;2013;1;2;2;2;4.3;0.0;0;0;6.400
2013/01/02 03:00;2013;1;2;3;2;4.0;0.0;0;0;6.400
2013/01/02 04:00;2013;1;2;4;2;3.2;0.0;0;0;6.400
2013/01/02 05:00;2013;1;2;5;2;4.2;0.0;0;0;6.400
2013/01/02 06:00;2013;1;2;6;2;4.3;0.0;0;0;6.400
2013/01/02 07:00;2013;1;2;7;2;3.8;0.0;0;0;6.400
2013/01/02 08:00;2013;1;2;8;2;4.3;0.7;0;0;6.400
2013/01/02 09:00;2013;1;2;9;2;3.9;35.4;0;0;6.400
2013/01/02 10:00;2013;1;2;10;2;3.6;114.6;0;0;6.400
2013/01/02 11:00;2013;1;2;11;2;4.1;210.4;0;0;6.400
2013/01/02 12:00;2013;1;2;12;2;4.2;198.3;0;0;6.400
2013/01/02 13:00;2013;1;2;13;2;4.5;165.7;0;0;6.400
2013/01/02 14:00;2013;1;2;14;2;4.2;131.3;0;0;6.400
2013/01/02 15:00;2013;1;2;15;2;5.2;63.8;0;0;6.400
2013/01/02 16:00;2013;1;2;16;2;5.5;3.9;0;0;6.400
2013/01/02 17:00;2013;1;2;17;2;5.4;0.0;0;0;6.400
2013/01/02 18:00;2013;1;2;18;2;5.0;0.0;0;0;6.400
2013/01/02 19:00;2013;1;2;19;2;5.3;0.0;0;0;6.400
2013/01/02 20:00;2013;1;2;20;2;5.3;0.0;0;0;6.400
2013/01/02 21:00;2013;1;2;21;2;5.3;0.0;0;0;6.400
2013/01/02 22:00;2013;1;2;22;2;6.1;0.0;0;0;6.400
2013/01/02 23:00;2013;1;2;23;2;6.4;0.0;0;0;6.400
2013/01/03 00:00;2013;1;3;0;3;6.9;0.0;0;0;6.400
2013/01/03 01:00;2013;1;3;1;3;7.0;0.0;0;0;6.400
2013/01/03 02:00;2013;1;3;2;3;6.0;0.0;0;0;6.400
2013/01/03 03:00;2013;1;3;3;3;6.1;0.0;0;0;6.400
2013/01/03 04:00;2013;1;3;4;3;5.3;0.0;0;0;6.400
2013/01/03 05:00;2013;1;3;5;3;5.1;0.0;0;0;6.400
2013/01/03 06:00;2013;1;3;6;3;5.1;0.0;0;0;6.400
2013/01/03 07:00;2013;1;3;7;3;6.1;0.0;0;0;6.400
2013/01/03 08:00;2013;1;3;8;3;5.5;0.0;0;0;6.400
2013/01/03 09:00;2013;1;3;9;3;5.8;3.4;0;0;6.400
2013/01/03 10:00;2013;1;3;10;3;6.0;19.0;0;0;6.400
2013/01/03 11:00;2013;1;3;11;3;5.8;57.0;0;0;6.400
2013/01/03 12:00;2013;1;3;12;3;5.5;38.7;0;0;6.400
2013/01/03 13:00;2013;1;3;13;3;5.2;31.8;0;0;6.400
2013/01/03 14:00;2013;1;3;14;3;5.2;24.6;0;0;6.400
2013/01/03 15:00;2013;1;3;15;3;5.3;16.3;0;0;6.400
2013/01/03 16:00;2013;1;3;16;3;5.6;1.8;0;0;6.400
2013/01/03 17:00;2013;1;3;17;3;5.5;0.0;0;0;6.400
2013/01/03 18:00;2013;1;3;18;3;5.2;0.0;0;0;6.400
2013/01/03 19:00;2013;1;3;19;3;5.2;0.0;0;0;6.400
2013/01/03 20:00;2013;1;3;20;3;5.2;0.0;0;0;6.400
2013/01/03 21:00;2013;1;3;21;3;4.8;0.0;0;0;6.400
2013/01/03 22:00;2013;1;3;22;3;4.4;0.0;0;0;6.400
2013/01/03 23:00;2013;1;3;23;3;3.4;0.0;0;0;6.400
2013/01/04 00:00;2013;1;4;0;4;3.9;0.0;0;0;6.400
2013/01/04 01:00;2013;1;4;1;4;4.5;0.0;0;0;6.400
2013/01/04 02:00;2013;1;4;2;4;4.4;0.0;0;0;6.400
2013/01/04 03:00;2013;1;4;3;4;4.9;0.0;0;0;6.400
2013/01/04 04:00;2013;1;4;4;4;4.5;0.0;0;0;6.400
2013/01/04 05:00;2013;1;4;5;4;4.6;0.0;0;0;6.400
