date-time;year;month;day-of-month;hour;day-of-year;Air_temp;Humidity;Water_cont_65;Water_cont_125;Water_cont_250;Water_cont_500
2013/01/01 01:00;2013;1;1;1;1;8.4;91.3;0.71;0.69;0.69;0.74
2013/01/01 02:00;2013;1;1;2;1;8.3;91.6;0.71;0.69;0.69;0.74
2013/01/01 03:00;2013;1;1;3;1;8.2;92.0;0.71;0.69;0.69;0.74
2013/01/01 04:00;2013;1;1;4;1;8.2;92.7;0.71;0.69;0.69;0.74
2013/01/01 05:00;2013;1;1;5;1;8.2;93.0;0.71;0.69;0.69;0.74
2013/01/01 06:00;2013;1;1;6;1;8.3;93.4;0.71;0.69;0.69;0.74
2013/01/01 07:00;2013;1;1;7;1;8.4;92.6;0.71;0.69;0.69;0.74
2013/01/01 08:00;2013;1;1;8;1;8.4;91.8;0.71;0.69;0.69;0.74
2013/01/01 09:00;2013;1;1;9;1;7.9;92.7;0.71;0.69;0.69;0.74
2013/01/01 10:00;2013;1;1;10;1;7.8;93.9;0.71;0.69;0.69;0.74
2013/01/01 11:00;2013;1;1;11;1;7.1;90.6;0.71;0.69;0.69;0.74
2013/01/01 12:00;2013;1;1;12;1;6.6;88.6;0.71;0.69;0.69;0.74
2013/01/01 13:00;2013;1;1;13;1;6.9;87.5;0.71;0.69;0.69;0.74
2013/01/01 14:00;2013;1;1;14;1;7.1;80.2;0.71;0.69;0.69;0.74
2013/01/01 15:00;2013;1;1;15;1;7.0;74.3;0.71;0.69;0.69;0.74
2013/01/01 16:00;2013;1;1;16;1;5.8;75.9;0.71;0.69;0.69;0.74
2013/01/01 17:00;2013;1;1;17;1;4.5;82.3;0.71;0.69;0.69;0.74
2013/01/01 18:00;2013;1;1;18;1;4.4;82.7;0.71;0.69;0.69;0.74
2013/01/01 19:00;2013;1;1;19;1;4.6;83.0;0.71;0.69;0.69;0.74
2013/01/01 20:00;2013;1;1;20;1;4.1;86.9;0.71;0.69;0.69;0.74
2013/01/01 21:00;2013;1;1;21;1;3.8;86.8;0.71;0.69;0.69;0.74
2013/01/01 22:00;2013;1;1;22;1;4.0;87.1;0.71;0.69;0.69;0.74
2013/01/01 23:00;2013;1;1;23;1;4.2;88.9;0.71;0.69;0.69;0.74
2013/01/02 00:00;2013;1;2;0;2;4.9;86.8;0.71;0.69;0.69;0.74
2013/01/02 01:00;2013;1;2;1;2;5.0;86.7;0.71;0.69;0.69;0.74
2013/01/02 02:00;2013;1;2;2;2;4.8;87.5;0.71;0.69;0.69;0.74
2013/01/02 03:00;2013;1;2;3;2;4.4;88.5;0.71;0.69;0.69;0.74
2013/01/02 04:00;2013;1;2;4;2;3.9;90.6;0.71;0.69;0.69;0.74
2013/01/02 05:00;2013;1;2;5;2;4.3;91.4;0.71;0.69;0.69;0.74
2013/01/02 06:00;2013;1;2;6;2;4.2;90.7;0.71;0.69;0.69;0.74
2013/01/02 07:00;2013;1;2;7;2;3.5;92.0;0.71;0.69;0.69;0.74
2013/01/02 08:00;2013;1;2;8;2;3.7;92.2;0.71;0.69;0.69;0.74
2013/01/02 09:00;2013;1;2;9;2;3.8;92.9;0.71;0.69;0.69;0.74
2013/01/02 10:00;2013;1;2;10;2;4.9;90.9;0.71;0.69;0.69;0.74
2013/01/02 11:00;2013;1;2;11;2;6.7;85.9;0.71;0.69;0.69;0.74
2013/01/02 12:00;2013;1;2;12;2;7.5;83.7;0.71;0.69;0.69;0.74
2013/01/02 13:00;2013;1;2;13;2;7.8;81.6;0.71;0.69;0.69;0.74
2013/01/02 14:00;2013;1;2;14;2;7.9;81.6;0.71;0.69;0.69;0.74
2013/01/02 15:00;2013;1;2;15;2;7.6;81.4;0.71;0.69;0.69;0.74
2013/01/02 16:00;2013;1;2;16;2;7.5;82.3;0.71;0.69;0.69;0.74
2013/01/02 17:00;2013;1;2;17;2;7.3;84.1;0.71;0.69;0.69;0.74
2013/01/02 18:00;2013;1;2;18;2;7.2;85.2;0.71;0.69;0.69;0.74
2013/01/02 19:00;2013;1;2;19;2;7.2;85.3;0.71;0.69;0.69;0.74
2013/01/02 20:00;2013;1;2;20;2;6.9;85.7;0.71;0.69;0.69;0.74
2013/01/02 21:00;2013;1;2;21;2;6.8;86.1;0.71;0.69;0.69;0.74
2013/01/02 22:00;2013;1;2;22;2;6.7;88.9;0.71;0.69;0.69;0.74
2013/01/02 23:00;2013;1;2;23;2;6.7;92.4;0.71;0.69;0.69;0.74
2013/01/03 00:00;2013;1;3;0;3;6.9;94.9;0.71;0.69;0.69;0.74
2013/01/03 01:00;2013;1;3;1;3;7.2;95.0;0.71;0.69;0.69;0.74
2013/01/03 02:00;2013;1;3;2;3;7.5;94.9;0.71;0.69;0.69;0.74
2013/01/03 03:00;2013;1;3;3;3;7.8;95.9;0.71;0.69;0.69;0.74
2013/01/03 04:00;2013;1;3;4;3;8.3;96.3;0.71;0.69;0.69;0.74
2013/01/03 05:00;2013;1;3;5;3;8.8;96.7;0.71;0.69;0.69;0.74
2013/01/03 06:00;2013;1;3;6;3;9.0;96.9;0.71;0.69;0.69;0.74
2013/01/03 07:00;2013;1;3;7;3;9.2;97.0;0.71;0.69;0.69;0.74
2013/01/03 08:00;2013;1;3;8;3;9.5;96.2;0.71;0.69;0.69;0.74
2013/01/03 09:00;2013;1;3;9;3;9.8;95.2;0.71;0.69;0.69;0.74
2013/01/03 10:00;2013;1;3;10;3;10.1;93.3;0.71;0.69;0.69;0.74
2013/01/03 11:00;2013;1;3;11;3;10.5;91.7;0.71;0.69;0.69;0.74
2013/01/03 12:00;2013;1;3;12;3;10.7;90.9;0.71;0.69;0.69;0.74
2013/01/03 13:00;2013;1;3;13;3;10.7;90.5;0.71;0.69;0.69;0.74
2013/01/03 14:00;2013;1;3;14;3;10.5;92.0;0.71;0.69;0.69;0.74
2013/01/03 15:00;2013;1;3;15;3;10.6;91.0;0.71;0.69;0.69;0.74
2013/01/03 16:00;2013;1;3;16;3;10.5;90.1;0.71;0.69;0.69;0.74
2013/01/03 17:00;2013;1;3;17;3;10.2;90.6;0.71;0.69;0.69;0.74
2013/01/03 18:00;2013;1;3;18;3;10.1;90.4;0.71;0.69;0.69;0.74
2013/01/03 19:00;2013;1;3;19;3;10.0;90.6;0.71;0.69;0.69;0.74
2013/01/03 20:00;2013;1;3;20;3;10.0;90.5;0.71;0.69;0.69;0.74
2013/01/03 21:00;2013;1;3;21;3;9.8;92.0;0.71;0.69;0.69;0.74
2013/01/03 22:00;2013;1;3;22;3;9.9;92.5;0.71;0.69;0.69;0.74
2013/01/03 23:00;2013;1;3;23;3;9.9;92.7;0.71;0.69;0.69;0.74
2013/01/04 00:00;2013;1;4;0;4;9.9;93.2;0.71;0.69;0.69;0.74
2013/01/04 01:00;2013;1;4;1;4;9.9;93.2;0.71;0.69;0.69;0.74
2013/01/04 02:00;2013;1;4;2;4;9.8;93.5;0.71;0.69;0.69;0.74
2013/01/04 03:00;2013;1;4;3;4;9.7;94.0;0.71;0.69;0.69;0.74
2013/01/04 04:00;2013;1;4;4;4;9.5;95.6;0.71;0.69;0.69;0.74
2013/01/04 05:00;2013;1;4;5;4;9.5;95.5;0.71;0.69;0.69;0.74
2013/01/04 06:00;2013;1;4;6;4;9.6;94.3;0.71;0.69;0.69;0.74
2013/01/04 07:00;2013;1;4;7;4;9.6;93.5;0.71;0.69;0.69;0.74
2013/01/04 08:00;2013;1;4;8;4;9.5;93.7;0.71;0.69;0.69;0.74
2013/01/04 09:00;2013;1;4;9;4;9.2;94.9;0.71;0.69;0.69;0.74
2013/01/04 10:00;2013;1;4;10;4;9.2;95.3;0.71;0.69;0.69;0.74
2013/01/04 11:00;2013;1;4;11;4;9.2;94.3;0.71;0.69;0.69;0.74
2013/01/04 12:00;2013;1;4;12;4;9.3;93.3;0.71;0.69;0.69;0.74
2013/01/04 13:00;2013;1;4;13;4;9.4;92.0;0.71;0.69;0.69;0.74
2013/01/04 14:00;2013;1;4;14;4;9.5;92.6;0.71;0.69;0.69;0.74
2013/01/04 15:00;2013;1;4;15;4;9.3;93.1;0.71;0.69;0.69;0.74
2013/01/04 16:00;2013;1;4;16;4;9.2;92.5;0.71;0.69;0.69;0.74
2013/01/04 17:00;2013;1;4;17;4;9.0;91.7;0.71;0.69;0.69;0.74
